Video_Adi,Model_Tipi,Aktarim_Modu,Islenen_Kare_Sayisi,Orijinal_Boyut_KB,DarBogaz_Boyutu_KB,Sikistirma_Orani_%,Mufettis_Sifirlama_Orani_%,Sunucu_Islem_Hizi_FPS
12331098_1080_1920_25fps,V5_Standart,ZLIB,150,6013.82,590062.09,-9711.76,0.0,145.56
12331098_1080_1920_25fps,V5_Standart,CODEC,150,6013.82,9929.63,-65.11,0.0,642.81
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,150,6013.82,9846.38,-63.73,0.0,651.37
12331098_1080_1920_25fps,V6_Mufettisli,ZLIB,150,6013.82,427295.99,-7005.23,0.18,683.11
12331098_1080_1920_25fps,V6_Mufettisli,CODEC,150,6013.82,6712.12,-11.61,0.18,647.29
12331098_1080_1920_25fps,V6_Mufettisli,CODEC_ZLIB,150,6013.82,6653.19,-10.63,0.18,651.13
15439560_1920_1080_25fps,V5_Standart,ZLIB,150,1216.25,501437.15,-41128.06,0.0,702.31
15439560_1920_1080_25fps,V5_Standart,CODEC,150,1216.25,2669.37,-119.48,0.0,717.98
15439560_1920_1080_25fps,V5_Standart,CODEC_ZLIB,150,1216.25,2587.82,-112.77,0.0,707.54
15439560_1920_1080_25fps,V6_Mufettisli,ZLIB,150,1216.25,310359.71,-25417.71,0.01,714.72
15439560_1920_1080_25fps,V6_Mufettisli,CODEC,150,1216.25,1470.69,-20.92,0.01,713.93
15439560_1920_1080_25fps,V6_Mufettisli,CODEC_ZLIB,150,1216.25,1334.29,-9.7,0.01,687.34
15773739_1920_1080_25fps,V5_Standart,ZLIB,150,6576.56,707847.16,-10663.19,0.0,673.25
15773739_1920_1080_25fps,V5_Standart,CODEC,150,6576.56,20480.04,-211.41,0.0,619.94
15773739_1920_1080_25fps,V5_Standart,CODEC_ZLIB,150,6576.56,20416.38,-210.44,0.0,636.73
15773739_1920_1080_25fps,V6_Mufettisli,ZLIB,150,6576.56,531090.31,-7975.51,1.83,674.25
15773739_1920_1080_25fps,V6_Mufettisli,CODEC,150,6576.56,13602.78,-106.84,1.83,621.95
15773739_1920_1080_25fps,V6_Mufettisli,CODEC_ZLIB,150,6576.56,13559.13,-106.17,1.83,631.44
