Video_Adi,Model,Aktarim_Modu,Orijinal_Video_MB,DarBogaz_Dosyasi_MB,Tasarruf_Orani_%
12331098_1080_1920_25fps,V5_Standart,ZLIB,21.42,576.23,-2590.61
12331098_1080_1920_25fps,V5_Standart,CODEC,21.42,9.7,54.72
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,21.42,9.62,55.1
12331098_1080_1920_25fps,V6_Mufettisli,ZLIB,21.42,417.28,-1848.42
12331098_1080_1920_25fps,V6_Mufettisli,CODEC,21.42,6.55,69.39
12331098_1080_1920_25fps,V6_Mufettisli,CODEC_ZLIB,21.42,6.5,69.66
15439560_1920_1080_25fps,V5_Standart,ZLIB,2.31,489.68,-21078.8
15439560_1920_1080_25fps,V5_Standart,CODEC,2.31,2.61,-12.74
15439560_1920_1080_25fps,V5_Standart,CODEC_ZLIB,2.31,2.53,-9.3
15439560_1920_1080_25fps,V6_Mufettisli,ZLIB,2.31,303.09,-13008.41
15439560_1920_1080_25fps,V6_Mufettisli,CODEC,2.31,1.44,37.88
15439560_1920_1080_25fps,V6_Mufettisli,CODEC_ZLIB,2.31,1.3,43.64
15773739_1920_1080_25fps,V5_Standart,ZLIB,118.94,691.26,-481.17
15773739_1920_1080_25fps,V5_Standart,CODEC,118.94,20.0,83.19
15773739_1920_1080_25fps,V5_Standart,CODEC_ZLIB,118.94,19.94,83.24
15773739_1920_1080_25fps,V6_Mufettisli,ZLIB,118.94,518.64,-336.04
15773739_1920_1080_25fps,V6_Mufettisli,CODEC,118.94,13.28,88.83
15773739_1920_1080_25fps,V6_Mufettisli,CODEC_ZLIB,118.94,13.24,88.87
